V2	V3	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
A1CF	mRNA	0	8.54875689638379	0	0	7.37967578439189	0	0	7.52145262226908	0	0	6.55030615959691	0	0	7.44309023179434	0
AAK1	mRNA	0	0	0	1.08032805197453	0	0	1.49162052934848	0	0	2.18048740713655	0	2.07795470432166	1.48957358939684	1.88066395264427	1.78213823763465
AASS	mRNA	1.55918200977679	4.97912711651643	1.73761088761245	0.639008374330189	3.5892387824131	3.11125345923535	1.49162052934848	3.28704132662083	1.09062593676957	0.913237314144646	1.56170683123754	1.38462519734041	1.48957358939684	3.97759564661923	1.15035023822764
ABAT	mRNA	0	2.26829805630465	0	0	0	0.967291332269984	0	0	1.09062593676957	0	0	0	0	1.88066395264427	1.15035023822764
ABCA1	mRNA	1.55918200977679	2.60645635079529	0	1.08032805197453	0	1.54118404891011	0.930565775384321	1.80865966924048	0	0	1.9738108355409	2.07795470432166	2.20668051841327	2.67013555222408	0
ABCA2	mRNA	1.55918200977679	2.8802103311515	0	1.92078571723747	0	2.53002866929382	1.89455392395723	2.8595555427429	2.73298999134732	1.46807932986246	1.9738108355409	2.89610995928804	0	1.22726202895103	1.15035023822764
ABCA3	mRNA	0.98070794986845	2.74981678679668	0	1.41779866097676	2.1079176658084	0	0	2.24936953381817	0	0.913237314144646	0	0	0.929056082632828	1.22726202895103	0
ABCB10	mRNA	3.96361315491967	2.74981678679668	3.37006639232166	2.4483902025648	3.12514443547368	1.95065464047446	1.89455392395723	3.28704132662083	3.32730123813494	2.18048740713655	2.55583386432756	3.17874742589272	2.46470725046982	1.22726202895103	1.15035023822764
ABCB11	mRNA	0	3.96660778418034	0	0	3.45049333719367	0	0	4.11024496233887	0	0	2.96939937865858	0	0	3.17749286119095	0
ABCB7	mRNA	2.29093575844543	5.33799510893964	4.819648794073	3.84540997179514	3.45049333719367	3.93804999836924	3.95385870086607	3.75657861460317	3.74699049050027	3.74046712423644	3.29044356114008	3.95413770720551	3.67269550399597	1.88066395264427	3.84964456169018
ABCC10	mRNA	1.55918200977679	0	0	0	1.07283446928698	0	1.49162052934848	2.24936953381817	1.09062593676957	0	1.9738108355409	2.07795470432166	0	1.88066395264427	2.22003061950327
ABCC3	mRNA	0	1.82579775822377	0.83047834078404	1.69110249141628	0	0	1.49162052934848	0	1.09062593676957	0.913237314144646	0	0	0	1.22726202895103	0
ABCC4	mRNA	4.133265170599	2.74981678679668	3.74979145493054	4.64166810513263	2.1079176658084	3.26250784708593	3.33059185173247	1.17093990676411	3.86353906272447	4.00139997116186	0	5.30979419703477	3.32773023040012	0	4.07517410785652
ABCC5	misc_RNA	6.63396572435832	1.18428975615324	5.37400634434946	5.89511195216876	6.84130525697103	6.04332939350561	6.1263487425095	7.07595423373776	5.98028877534775	6.39278225231248	7.00963707821068	6.4855437759353	6.57014567502983	6.50560365362305	4.86059478306964
